PropertyOrGLLossesInLast3Years,LeadOrMoldIssues,TranBackDt,OccupancyTypeCat,ConstructionTypeCat,TotalSquareFeet,CommercialSquareFeet,YearBuilt,NumberOfStories,PercentageOccupied,AnyBuildingViolations,Mercantile,RenovationGutRehabEverDone,BuildingLimit,RentLimit,OnboardResp
0,0,0,2,1,2800,0,1901,3,100,0,0,0,525000,75000,1
0,0,0,4,1,2208,0,1900,3,100,0,0,0,526606,0,1
0,0,0,2,1,2370,0,1940,2,100,0,0,0,539000,55200,1
0,0,0,2,1,1956,0,1955,2,100,0,0,0,540000,34000,1
1,0,1,2,3,3627,0,1915,3,100,0,1,0,545670,150000,0
0,0,0,3,1,2160,0,1920,2,100,0,0,0,549000,50000,1
0,0,0,2,1,2280,1100,1931,2,100,0,1,0,550000,72000,1
0,0,0,2,1,2440,0,1915,3,100,0,0,0,550000,0,1
0,0,0,3,1,1520,0,1950,2,100,0,0,1,550000,50000,1
0,0,0,2,1,1842,0,1945,2,100,0,0,0,550000,66000,1
0,0,0,2,1,1760,0,1925,2,100,0,0,0,550000,40000,1
0,0,0,2,3,2504,0,1925,3,100,0,0,0,553000,40000,1
0,0,0,2,1,3240,0,1931,4,100,0,0,0,558000,75000,1
0,0,0,3,1,2244,0,1971,3,100,0,0,0,566000,0,1
0,0,0,2,1,2860,0,1975,3,100,0,0,0,572000,50000,1
0,0,0,3,1,2700,0,1950,3,100,0,0,0,572220,75000,1
0,0,0,3,1,2500,0,1899,4,100,0,0,0,580000,40000,0
1,0,0,3,1,1024,0,1625,2,100,0,0,0,581632,0,0
0,0,1,4,1,3300,0,2003,3,100,0,0,0,584000,25000,0
0,0,0,2,1,3300,1500,1933,2,100,0,1,0,585000,76000,1
5,5,1,2,1,3400,1000,1920,3,100,0,1,0,595000,60000,0
0,0,0,2,1,2280,0,1960,2,100,0,0,0,598000,93000,1
1,0,0,2,1,3060,0,1899,2,100,0,0,0,600000,150000,0
0,0,0,2,1,3200,0,1900,3,100,0,0,0,600000,75000,1
0,0,0,2,1,2700,0,1955,3,100,0,0,0,600000,36000,1
0,0,0,2,1,2700,900,1960,3,100,0,1,0,600000,30000,1
1,0,0,2,1,2880,0,1905,3,100,0,0,0,600000,60000,0
0,0,0,3,1,2000,0,1925,2,100,0,0,0,600000,30000,1
0,0,0,2,1,2900,0,1900,2,100,0,0,0,600000,36000,1
1,0,0,2,1,2988,0,1899,3,100,0,0,0,600000,75000,0
0,1,0,3,1,2000,0,1960,2,100,0,0,0,600000,60000,1
0,0,0,2,1,3200,0,1910,3,100,0,0,0,600000,75000,1
0,0,0,2,1,3224,0,1920,2,100,0,0,0,601809,180543,1
1,0,0,2,1,2400,800,2005,3,100,0,1,0,603500,60350,1
0,0,0,3,1,2150,0,1945,2,100,0,0,0,603900,0,1
0,0,0,2,1,2440,0,1925,2,100,0,0,0,608000,66000,1
0,0,0,3,1,1989,0,1935,2,100,0,0,0,612000,30000,1
0,0,0,3,1,2160,0,1920,3,100,0,0,0,613000,50000,1
0,0,0,2,1,4125,1100,1931,3,100,0,1,0,620000,55000,1
0,0,1,2,1,3600,0,1899,4,100,0,0,1,620000,0,0
0,0,0,2,1,3600,1200,1970,3,100,0,1,0,620000,60000,1
0,0,0,3,1,3540,0,1905,2,100,0,0,0,620000,50000,1
0,0,0,2,1,3600,787,1920,3,100,0,1,0,620000,90000,1
0,0,0,3,1,2940,0,1910,2,100,0,0,0,625000,20000,1
0,0,0,2,1,2124,0,1910,2,100,0,0,0,627403,35000,1
1,0,0,2,1,2890,0,2005,3,100,0,0,0,629500,63180,1
0,0,0,2,1,3230,0,1925,2,100,0,0,0,630000,65000,1
0,0,0,3,1,2560,0,1935,3,100,0,0,0,643000,0,1
0,0,0,2,1,2580,0,1910,3,100,0,0,0,645000,40000,1
0,0,0,2,1,3750,0,1935,2,100,0,0,0,645000,60000,1
0,0,0,2,1,2436,812,1931,3,100,0,1,0,645000,78000,1
